in:ID [-],in:Type [-],in:Dep [m],in:PWT [%],in:FAR [-],in:Len [m],in:RS [m],in:SS [m],out:GFA [m2],out:LotCov [-],out:PC_1 [%],out:PC_2 [%],out:PC_3 [%],out:PC_4 [%],out:PC_5 [%],img
86,2,30,30,10,60,10,0,78686,0.248,0.1,8.7,26,36.5,28.7,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/86ScreenParallel.webp
87,0,40,30,10,60,10,0,80173,0.242,0.1,9.7,26.9,36.2,27.1,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/87ScreenParallel.webp
88,1,40,30,10,60,10,0,80302,0.244,0.1,8.6,26.9,36.9,27.5,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/88ScreenParallel.webp
89,2,40,30,10,60,10,0,78686,0.248,0.1,8.7,26,36.5,28.7,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/89ScreenParallel.webp
90,0,20,40,10,60,10,0,81359,0.214,1.2,14.4,29.1,31.6,23.8,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/90ScreenParallel.webp
91,1,20,40,10,60,10,0,81838,0.218,0.3,13.6,30.6,32.3,23.3,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/91ScreenParallel.webp
92,2,20,40,10,60,10,0,81591,0.247,0.1,10.1,27.8,35,27,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/92ScreenParallel.webp
93,0,30,40,10,60,10,0,81188,0.231,1.2,12.9,30,32.5,23.4,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/93ScreenParallel.webp
94,1,30,40,10,60,10,0,81033,0.235,0.1,12,29.9,34.4,23.6,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/94ScreenParallel.webp
95,2,30,40,10,60,10,0,81056,0.248,0.1,11,26.6,35.8,26.6,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/95ScreenParallel.webp
